Date,commodity1,commodity2,zscore,signal,status,buy price,sell price,mtm,pnl,Cointegration test
2014-08-07,123.9,137.5,0.7712230539056023,,,,,,0,No
2014-08-08,124.2,139.25,0.002577135342051454,,,,,,0,No
2014-08-11,123.9,136.95,1.82184838916539,,,,,,0,No
2014-08-12,124.35,138.1,0.9346407369607738,,,,,,0,No
2014-08-13,124.95,138.45,1.2308107256420875,,,,,,0,No
2014-08-14,123.45,134.7,3.8632300898916765,,,,,,0,No
2014-08-18,121.05,133.75,0.7451122961588451,,,,,,0,No
2014-08-19,122.1,134.2,1.2708075336080715,,,,,,0,No
2014-08-20,122.95,135.35,0.8607530143711757,,,,,,0,No
2014-08-21,125.2,136.75,1.8173649657315611,,,,,,0,No
2014-08-22,124.25,135.9,1.240276217850183,,,,,,0,No
2014-08-25,124.4,136.15,0.9348187474019494,,,,,,0,No
2014-08-26,125.0,136.95,0.6688990875221175,,,,,,0,No
2014-08-27,125.75,135.7,3.1023347476376717,,,,,,0,No
2014-08-28,125.4,136.6,0.8596844470255744,,,,,,0,No
2014-08-29,126.2,136.3,2.0977954781774164,,,,,,0,No
2014-09-01,126.7,135.85,2.637889032725706,,,,,,0,No
2014-09-02,126.7,135.0,2.7129436796974282,,,,,,0,No
2014-09-03,127.35,135.55,2.0223657570307374,,,,,,0,No
2014-09-04,125.2,133.4,1.496475481030346,,,,,,0,No
2014-09-05,126.75,134.6,1.5045122133644453,,,,,,0,No
2014-09-08,125.65,132.95,1.543854780286779,,,,,,0,No
2014-09-09,126.1,132.7,1.7809692802560122,,,,,,0,No
2014-09-10,124.95,129.85,2.815767775706983,,,,,,0,No
2014-09-11,124.5,129.15,2.0983150693797046,,,,,,0,No
2014-09-12,122.9,128.95,0.8101900201515089,,,,,,0,No
2014-09-15,123.0,129.6,0.256592904757786,,,,,,0,No
2014-09-16,120.55,128.1,-0.8030956420831091,,,,,,0,No
2014-09-17,122.6,129.95,-0.578586783839157,,,,,,0,No
2014-09-18,120.2,127.95,-1.1374126350350218,,,,,,0,No
2014-09-19,119.1,125.8,-0.2645596493638532,,,,,,0,No
2014-09-22,118.9,126.7,-1.4024031989802515,,,,,,0,No
2014-09-23,119.15,126.4,-0.7224981126750506,,,,,,0,No
2014-09-24,118.2,125.8,-0.9763197388908685,,,,,,0,No
2014-09-25,118.6,126.95,-1.5433784629976197,,,,,,0,No
2014-09-26,118.4,126.7,-1.5757287896617567,,,,,,0,No
2014-09-29,117.95,126.8,-2.3713132561930546,,,,,,0,No
2014-09-30,120.45,130.2,-2.9938086943357423,,,,,,0,No
2014-10-01,120.15,129.55,-1.6183048037927394,,,,,,0,No
2014-10-03,118.35,130.05,-4.028977771303487,,,,,,0,No
2014-10-06,117.6,128.75,-1.9685669307662395,,,,,,0,No
2014-10-07,117.7,129.55,-2.048655067952976,,,,,,0,No
2014-10-08,119.25,128.55,0.10002290154608218,,,,,,0,No
2014-10-09,118.35,127.8,0.10134954729265351,,,,,,0,No
2014-10-10,117.7,127.0,0.33895485009225557,,,,,,0,No
2014-10-13,117.6,126.5,0.7844186283687985,,,,,,0,No
2014-10-14,117.65,126.05,1.358757070184737,,,,,,0,No
2014-10-16,118.75,126.25,2.1191493898654588,,,,,,0,No
2014-10-17,117.85,122.4,3.8118512659958808,,,,,,0,No
2014-10-20,120.2,124.2,2.5879960138761167,,,,,,0,No
2014-10-21,120.5,122.9,2.553549274929517,,,,,,0,No
2014-10-22,121.5,124.05,1.8081977189146865,,,,,,0,No
2014-10-23,122.95,124.1,1.9930652221806635,,,,,,0,No
2014-10-24,122.25,123.85,1.388229093868453,,,,,,0,No
2014-10-27,119.95,121.4,1.1775832161814224,,,,,,0,No
2014-10-28,121.4,123.35,0.8140989917447372,,,,,,0,No
2014-10-29,122.4,124.1,0.7695908932430218,,,,,,0,No
2014-10-30,124.7,124.45,1.6791191691032317,,,,,,0,No
2014-10-31,126.05,123.85,3.2191616511368384,,,,,,0,No
2014-11-03,126.85,123.9,2.7349129654305084,,,,,,0,No
2014-11-04,128.4,125.05,2.218986293082071,,,,,,0,No
2014-11-05,126.95,123.05,1.9491773762434375,,,,,,0,No
